parameter,value
k1_konCD14LPS,8.75
k1_koffCD14LPS,0.07
k1_CD14synth,0.00112
k1_CD14deg,0.00087793
k1_CD14LPSassTLR4,5.543
k1_CD14LPSdissTLR4,0.027715
k1_TLR4synth,0.000052477
k1_CD14LPSendocytosis,0.065681
k1_CD14LPSrecycling,0.04
k1_TLR4endocytosis,0.028028
k1_TLR4recycling,0.5
k1_ligandinducedTLR4LPSendocytosis,0.065681
k1_TLR4LPSrecyclingslow,0.04
k1_LPSdeg,0.07
k1_TLR4deg,0.0653
k1_TLR4LPSendeg,0.0292
k1_endosomematurationdelay,100000000
k1_delayedTLR4LPSendeg,2
k1_MYD88activationbyTLR4,150
k2_MYD88activationHILL,3
k3_MYD88activationEC50,0.012448
k1_MYD88deactivation,2200
k1_TRIFactivation,18
k1_TRIFinhibition,0.04
k1_TRAF6activationbyMYD88,550
k1_TRAF6activationbyTRIF,16
k1_TRAF6inhibition,18
k1_TRAF6mediatedIKKK_offactivation,0.098
k1_IKKKdeactivation,2.5
k1_IKKKmediatedIKKactivation,1000
k1_IKKdeactivation,0.9
k1_IKKinhibition,0
k1_IKKirecycledtoIKK_off,2
k1_TBK1activationbyTRIF,0.011
k1_TBK1deactivation,0.0358
k1_IRF3activationbyTBK1,25
k1_IRF3deactivation,0.010142
k1_IRF3activationinnucleus,0.0143
k1_IRF3inactivationinnucleus,0.0194
k1_IRF3translocationtonucleus,0.00091935
k1_IRF3translocationtocytoplasm,3.6871
k1_IRF3sintonucleus,0.0275
k1_IRF3nsintocytoplasm,0.4145
k1_IRF3generationrate,10.0546
k1_IRF3deg,0.0013
k1_IRF3sdeg,0.0584
k1_IRF3nsdeg,0.015
k1_IRF3ndeg,0.0091
k1_volumescalingfactor,120
k1_MYD88SELFACTIVATION,p
